age,gender,height,weight,workout_type,duration,calories_burned,intensity,calories_intake,bmi,goal_A,goal_B,goal_C,goal_D,goal_E,goal_F,goal_G,goal_H
39,Male,175,99,0,79,384,High,3195,32.326530612244895,0,1,0,0,0,0,1,0
36,Other,157,112,1,73,612,High,2541,45.4379488011684,0,1,0,0,0,0,1,1
25,Female,180,66,2,27,540,High,3362,20.37037037037037,1,0,1,1,0,1,0,0
56,Male,154,89,0,39,672,Medium,2071,37.52740765727779,0,0,0,0,0,0,1,0
53,Other,194,59,3,56,410,Medium,3298,15.67647996599001,0,0,0,0,1,0,1,0
33,Male,162,81,4,11,301,Low,2401,30.864197530864192,0,0,0,0,1,0,1,1
48,Female,151,82,3,109,351,Low,2310,35.963334941449936,0,1,0,0,1,0,1,0
59,Male,189,61,3,83,518,Medium,2654,17.076789563562052,0,0,0,0,1,0,1,0
37,Other,182,113,5,25,226,Low,3760,34.1142374109407,0,1,0,0,0,0,1,1
45,Female,198,74,0,60,265,High,1908,18.875624936231,0,0,0,1,0,0,1,0
28,Other,167,84,4,31,292,Low,1893,30.11940191473341,0,0,0,0,1,0,1,1
46,Other,185,112,2,111,761,Low,2184,32.72461650840029,0,1,0,0,0,0,0,0
38,Male,178,71,5,83,664,High,2253,22.408786769347305,0,0,0,1,0,0,1,1
18,Male,174,99,1,60,205,Low,2238,32.69916765755053,0,1,0,0,0,0,0,1
38,Male,179,75,4,50,463,High,1759,23.40750912892856,0,0,0,0,1,0,1,1
34,Female,196,107,0,18,191,Medium,3569,27.852977925864227,0,1,0,1,0,0,1,0
26,Other,185,74,2,30,272,Low,3241,21.62162162162162,1,0,1,1,0,1,0,0
19,Female,187,96,2,94,855,High,2943,27.45288684263204,0,1,1,1,0,0,0,0
20,Male,178,52,3,52,404,Medium,1713,16.41206918318394,0,0,1,0,1,0,0,0
44,Female,189,62,3,51,821,High,2541,17.35673693345651,0,0,1,0,1,0,1,0
38,Other,177,54,0,19,695,High,1825,17.236426314277505,0,0,0,0,0,0,1,0
24,Male,179,90,2,35,221,High,2285,28.089010954714272,0,1,1,1,0,0,0,0
56,Other,159,107,4,60,772,Medium,2600,42.324275147343855,0,0,0,0,1,0,1,1
58,Male,199,78,0,52,737,Medium,1664,19.696472311305268,0,0,0,1,0,0,1,0
21,Male,157,82,2,14,861,Medium,3693,33.26706965799829,0,1,0,0,0,0,0,0
43,Female,186,59,4,90,685,High,3150,17.05399468146606,0,0,0,0,1,0,1,1
28,Female,151,110,3,61,629,Low,2439,48.243498092188936,0,1,0,0,1,0,1,0
54,Female,198,69,3,76,344,Low,3829,17.600244872972148,0,0,0,0,1,0,1,0
40,Other,159,99,0,87,850,Low,2388,39.15984336062655,0,1,0,0,0,0,1,0
35,Male,188,79,1,101,638,Low,1577,22.351742870076958,0,0,0,1,0,0,1,1
26,Other,168,86,3,112,791,Low,3029,30.470521541950117,0,1,0,0,1,0,1,0
19,Male,160,92,1,83,849,High,2499,35.93749999999999,0,1,0,0,0,0,0,1
28,Other,157,79,4,31,482,Low,1813,32.049981743681286,0,0,0,0,1,0,1,1
39,Female,182,51,1,37,486,Medium,3481,15.396691220867044,0,0,0,0,0,0,1,1
24,Female,166,51,1,16,949,Medium,3425,18.507766003774133,0,0,0,1,0,0,0,1
21,Other,193,73,1,27,689,Medium,3934,19.597841552793366,0,0,0,1,0,0,0,1
55,Male,170,80,4,63,304,High,3289,27.68166089965398,0,0,0,0,1,0,1,1
42,Female,174,55,3,67,155,Medium,2380,18.166204254194742,0,0,1,0,1,0,1,0
48,Other,156,71,3,15,297,High,3350,29.17488494411571,0,1,1,0,1,0,1,0
29,Female,192,107,5,43,161,Medium,2353,29.02560763888889,0,1,0,1,0,0,1,1
54,Male,197,89,4,108,121,High,3849,22.932824860212836,0,0,0,0,1,0,1,1
42,Female,179,63,4,101,927,High,2626,19.66230766829999,0,0,0,0,1,0,1,1
41,Male,176,75,2,108,508,Low,3181,24.212293388429753,0,0,1,1,0,0,0,0
20,Other,158,58,2,48,900,High,2156,23.233456176894723,1,0,1,1,0,1,0,0
20,Other,180,95,0,86,697,Low,2047,29.320987654320987,0,1,0,1,0,0,0,0
44,Female,167,113,2,118,799,Medium,3597,40.517766861486606,0,1,0,0,0,0,0,0
56,Male,187,87,2,80,872,High,1592,24.879178701135288,0,0,0,1,0,0,0,0
36,Male,170,83,4,77,506,Low,3695,28.719723183391007,0,0,0,0,1,0,1,1
49,Male,195,79,5,103,767,Low,3600,20.77580539119001,0,0,0,1,0,0,1,1
27,Female,198,97,5,115,976,High,2834,24.742373227221712,0,0,0,1,0,1,1,1
22,Other,164,62,5,45,337,Medium,1583,23.051754907792983,0,0,0,1,0,1,0,1
47,Male,193,57,5,95,765,Medium,2154,15.302424226153724,0,0,0,0,0,0,1,1
52,Other,194,66,5,118,376,Medium,2745,17.53640131788713,0,0,0,0,0,0,1,1
